State,Year_x,Month_x,Rain,Month_Year,Year_y,Month_y,Flood,Area
Bihar,1991,8,324.2,8/1991,1991,8,1,ROSERA
Bihar,1991,8,324.2,8/1991,1991,8,1,KHAGARIA
Bihar,1991,9,270.5,9/1991,1991,9,1,KHAGARIA
Bihar,1992,9,85.9,9/1992,1992,9,1,KHAGARIA
Bihar,1993,7,209.1,7/1993,1993,7,1,SIKANDERPUR
Bihar,1993,7,209.1,7/1993,1993,7,1,SAMASTIPUR
Bihar,1993,7,209.1,7/1993,1993,7,1,ROSERA
Bihar,1993,8,357.3,8/1993,1993,8,1,SIKANDERPUR
Bihar,1993,8,357.3,8/1993,1993,8,1,SAMASTIPUR
Bihar,1993,9,320.0,9/1993,1993,9,1,SAMASTIPUR
Bihar,1993,9,320.0,9/1993,1993,9,1,ROSERA
Bihar,1993,9,320.0,9/1993,1993,9,1,KHAGARIA
Bihar,1994,8,257.6,8/1994,1994,8,1,ROSERA
Bihar,1994,8,257.6,8/1994,1994,8,1,KHAGARIA
Bihar,1994,9,226.5,9/1994,1994,9,1,LALBEGHIAGHAT
Bihar,1994,9,226.5,9/1994,1994,9,1,SIKANDERPUR
Bihar,1994,9,226.5,9/1994,1994,9,1,SAMASTIPUR
Bihar,1994,9,226.5,9/1994,1994,9,1,ROSERA
Bihar,1994,9,226.5,9/1994,1994,9,1,KHAGARIA
Bihar,1994,10,32.9,10/1994,1994,10,1,ROSERA
Bihar,1995,8,335.7,8/1995,1995,8,1,SAMASTIPUR
Bihar,1995,9,279.1,9/1995,1995,9,1,KHAGARIA
Bihar,1996,7,238.5,7/1996,1996,7,1,SAMASTIPUR
Bihar,1996,7,238.5,7/1996,1996,7,1,ROSERA
Bihar,1996,8,350.9,8/1996,1996,8,1,SAMASTIPUR
Bihar,1996,8,350.9,8/1996,1996,8,1,ROSERA
Bihar,1996,8,350.9,8/1996,1996,8,1,KHAGARIA
Bihar,1996,9,162.5,9/1996,1996,9,1,SAMASTIPUR
Bihar,1996,9,162.5,9/1996,1996,9,1,KHAGARIA
Bihar,1998,7,465.1,7/1998,1998,7,1,LALBEGHIAGHAT
Bihar,1998,7,465.1,7/1998,1998,7,1,SIKANDERPUR
Bihar,1998,7,465.1,7/1998,1998,7,1,SAMASTIPUR
Bihar,1998,7,465.1,7/1998,1998,7,1,ROSERA
Bihar,1998,8,377.4,8/1998,1998,8,1,LALBEGHIAGHAT
Bihar,1998,8,377.4,8/1998,1998,8,1,SIKANDERPUR
Bihar,1998,8,377.4,8/1998,1998,8,1,SAMASTIPUR
Bihar,1998,8,377.4,8/1998,1998,8,1,ROSERA
Bihar,1998,8,377.4,8/1998,1998,8,1,KHAGARIA
Bihar,1998,9,188.0,9/1998,1998,9,1,SIKANDERPUR
Bihar,1998,9,188.0,9/1998,1998,9,1,SAMASTIPUR
Bihar,1998,9,188.0,9/1998,1998,9,1,ROSERA
Bihar,1998,9,188.0,9/1998,1998,9,1,KHAGARIA
Bihar,1999,7,380.8,7/1999,1999,7,1,SAMASTIPUR
Bihar,1999,7,380.8,7/1999,1999,7,1,ROSERA
Bihar,1999,8,347.5,8/1999,1999,8,1,SIKANDERPUR
Bihar,1999,8,347.5,8/1999,1999,8,1,SAMASTIPUR
Bihar,1999,8,347.5,8/1999,1999,8,1,ROSERA
Bihar,1999,8,347.5,8/1999,1999,8,1,KHAGARIA
Bihar,1999,9,199.6,9/1999,1999,9,1,SIKANDERPUR
Bihar,1999,9,199.6,9/1999,1999,9,1,SAMASTIPUR
Bihar,1999,9,199.6,9/1999,1999,9,1,ROSERA
Bihar,1999,9,199.6,9/1999,1999,9,1,KHAGARIA
Bihar,2000,7,264.3,7/2000,2000,7,1,KHAGARIA
Bihar,2001,7,224.7,7/2001,2001,7,1,KHAGARIA
Bihar,2001,8,225.9,8/2001,2001,8,1,LALBEGHIAGHAT
Bihar,2001,8,225.9,8/2001,2001,8,1,SIKANDERPUR
Bihar,2001,8,225.9,8/2001,2001,8,1,SAMASTIPUR
Bihar,2001,8,225.9,8/2001,2001,8,1,ROSERA
Bihar,2001,8,225.9,8/2001,2001,8,1,KHAGARIA
Bihar,2001,9,274.8,9/2001,2001,9,1,LALBEGHIAGHAT
Bihar,2001,9,274.8,9/2001,2001,9,1,SIKANDERPUR
Bihar,2001,9,274.8,9/2001,2001,9,1,SAMASTIPUR
Bihar,2001,9,274.8,9/2001,2001,9,1,ROSERA
Bihar,2001,9,274.8,9/2001,2001,9,1,KHAGARIA
Bihar,2001,10,181.3,10/2001,2001,10,1,SAMASTIPUR
Bihar,2001,10,181.3,10/2001,2001,10,1,ROSERA
Bihar,2002,7,386.1,7/2002,2002,7,1,LALBEGHIAGHAT
Bihar,2002,7,386.1,7/2002,2002,7,1,SIKANDERPUR
Bihar,2002,7,386.1,7/2002,2002,7,1,SAMASTIPUR
Bihar,2002,7,386.1,7/2002,2002,7,1,ROSERA
Bihar,2002,8,247.7,8/2002,2002,8,1,SIKANDERPUR
Bihar,2002,8,247.7,8/2002,2002,8,1,SAMASTIPUR
Bihar,2003,7,356.8,7/2003,2003,7,1,LALBEGHIAGHAT
Bihar,2003,7,356.8,7/2003,2003,7,1,SIKANDERPUR
Bihar,2003,7,356.8,7/2003,2003,7,1,SAMASTIPUR
Bihar,2003,7,356.8,7/2003,2003,7,1,ROSERA
Bihar,2003,8,310.6,8/2003,2003,8,1,SIKANDERPUR
Bihar,2003,8,310.6,8/2003,2003,8,1,SAMASTIPUR
Bihar,2003,8,310.6,8/2003,2003,8,1,ROSERA
Bihar,2003,8,310.6,8/2003,2003,8,1,KHAGARIA
Bihar,2003,9,183.9,9/2003,2003,9,1,SAMASTIPUR
Bihar,2003,9,183.9,9/2003,2003,9,1,ROSERA
Bihar,2003,9,183.9,9/2003,2003,9,1,KHAGARIA
Bihar,2003,10,142.0,10/2003,2003,10,1,KHAGARIA
Bihar,2004,7,418.4,7/2004,2004,7,1,LALBEGHIAGHAT
Bihar,2004,7,418.4,7/2004,2004,7,1,SIKANDERPUR
Bihar,2004,7,418.4,7/2004,2004,7,1,SAMASTIPUR
Bihar,2004,7,418.4,7/2004,2004,7,1,ROSERA
Bihar,2004,8,175.9,8/2004,2004,8,1,SAMASTIPUR
Bihar,2005,8,309.1,8/2005,2005,8,1,LALBEGHIAGHAT
Bihar,2005,8,309.1,8/2005,2005,8,1,SIKANDERPUR
Bihar,2005,8,309.1,8/2005,2005,8,1,SAMASTIPUR
Bihar,2005,8,309.1,8/2005,2005,8,1,ROSERA
Bihar,2005,8,309.1,8/2005,2005,8,1,KHAGARIA
Bihar,2005,9,105.1,9/2005,2005,9,1,LALBEGHIAGHAT
Bihar,2005,9,105.1,9/2005,2005,9,1,SIKANDERPUR
Bihar,2005,9,105.1,9/2005,2005,9,1,SAMASTIPUR
Bihar,2005,9,105.1,9/2005,2005,9,1,ROSERA
Bihar,2005,9,105.1,9/2005,2005,9,1,KHAGARIA
Bihar,2006,7,290.7,7/2006,2006,7,1,ROSERA
Bihar,2006,8,160.4,8/2006,2006,8,1,ROSERA
Bihar,2006,8,160.4,8/2006,2006,8,1,KHAGARIA
